# Данные инвойса в формате: SKU|Description|Qty|Rate|Amount

BOA0002-90|Reviving Bath Oil 90 G -COSMOS Natural|15|122.67|1840.05
BOA0003-90|Refreshing Bath Oil 90 G -COSMOS Natural|15|122.67|1840.05
SI0044-45|Organic Moringa Oil 45 G -COSMOS Organic|15|508.18|7622.70
SI0046-45|Organic Argan Oil 45 G -COSMOS Organic|30|329.45|9883.50
SI0103-45|Organic Jojoba Oil 45 G -COSMOS Organic|15|268.11|4021.65
SI0057-45|Organic Rosehip Oil with Vitamin E 45 G -COSMOS Organic|15|508.18|7622.70
SI0045-45|Organic Tamanu Oil with Vitamin E 45 G -COSMOS Organic|15|494.16|7412.40
SI0104-45|Organic Sweet Almond Oil with Vitamin E 45 G -COSMOS Organic|15|243.58|3653.70
SI0100-45|Organic Apricot Kernel Oil with Vitamin E 45 G -COSMOS Organic|15|243.58|3653.70
SI0077-45|Cold Pressed Guava Oil 45 G -COSMOS Organic|15|346.97|5204.55
FWH001-50|His Skin Tea Tree & Lime Face Wash 50g|20|205.03|4100.60
FLH001-50|His Skin Tea Tree & Lime Face Lotion 50g|20|243.58|4871.60
FOH001-50|His Skin Turmeric & Lime Face Oil 50g|20|534.47|10689.40

